Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0       1166140  [avrora.c-print] 11      emit | Ld R22. from local[20]
   0       1169184  [avrora.c-print] 11      emit | push32
   0       1172184  [avrora.c-print] 11      emit | s: 2
   0       1176555  [avrora.c-print] 11      emit | [I32.Load 0]
   0       1180863  [avrora.c-print] 11      emit | pop32 offset to R22.
   0       1187698  [avrora.c-print] 11      emit | push/pop optimized
   0       1193311  [avrora.c-print] 11      emit | push/pop optimized
   0       1198098  [avrora.c-print] 11      emit | push/pop optimized
   0       1204116  [avrora.c-print] 11      emit | [LOCAL.TEE 15]
   0       1207830  [avrora.c-print] 11      emit | pop32 to R22...
   0       1213422  [avrora.c-print] 11      emit | Store R22... to local[40]
   0       1216466  [avrora.c-print] 11      emit | push32
   0       1221180  [avrora.c-print] 11      emit | [LOCAL.GET 12]
   0       1226185  [avrora.c-print] 11      emit | Ld R22. from local[28]
   0       1229229  [avrora.c-print] 11      emit | push32
   0       1232229  [avrora.c-print] 11      emit | s: 3
   0       1236600  [avrora.c-print] 11      emit | [I32.Load 0]
   0       1240908  [avrora.c-print] 11      emit | pop32 offset to R22.
   0       1246529  [avrora.c-print] 11      emit | [LOCAL.TEE 16]
   0       1250243  [avrora.c-print] 11      emit | pop32 to R22...
   0       1255835  [avrora.c-print] 11      emit | Store R22... to local[44]
   0       1258879  [avrora.c-print] 11      emit | push32
   0       1262310  [avrora.c-print] 11      emit | [I32.SUB]
   0       1266090  [avrora.c-print] 11      emit | s: 2
   0       1270563  [avrora.c-print] 11      emit | [LOCAL.GET 16]
   0       1275568  [avrora.c-print] 11      emit | Ld R22. from local[44]
   0       1278612  [avrora.c-print] 11      emit | push32
   0       1281612  [avrora.c-print] 11      emit | s: 3
   0       1286085  [avrora.c-print] 11      emit | [LOCAL.GET 15]
   0       1291090  [avrora.c-print] 11      emit | Ld R22. from local[40]
   0       1294134  [avrora.c-print] 11      emit | push32
   0       1297134  [avrora.c-print] 11      emit | s: 4
   0       1300324  [avrora.c-print] 11      emit | [I32.SUB]
   0       1307059  [avrora.c-print] 11      emit | push/pop optimized
   0       1312339  [avrora.c-print] 11      emit | push/pop optimized
   0       1403279  [avrora.c-print] 11      emit | s: 3
   0       1407752  [avrora.c-print] 11      emit | [LOCAL.GET 15]
   0       1412757  [avrora.c-print] 11      emit | Ld R22. from local[40]
   0       1415801  [avrora.c-print] 11      emit | push32
   0       1418801  [avrora.c-print] 11      emit | s: 4
   0       1423274  [avrora.c-print] 11      emit | [LOCAL.GET 16]
   0       1428279  [avrora.c-print] 11      emit | Ld R22. from local[44]
   0       1431323  [avrora.c-print] 11      emit | push32
   0       1434323  [avrora.c-print] 11      emit | s: 5
