Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0       1027088  [avrora.c-print] 11      emit | pop32 to R18.
   0       1032085  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1035059  [avrora.c-print] 11      emit | push32
   0       1038057  [avrora.c-print] 11      emit | s: 4
   0       1042428  [avrora.c-print] 11      emit | [I32.Load 0]
   0       1046736  [avrora.c-print] 11      emit | pop32 offset to R22.
   0       1053154  [avrora.c-print] 11      emit | [I32.(ComparisonInstruction)]
   0       1059179  [avrora.c-print] 11      emit | push/pop optimized
   0       1065021  [avrora.c-print] 11      emit | push/pop optimized
   0       1069659  [avrora.c-print] 11      emit | push/pop optimized
   0       1077990  [avrora.c-print] 11      emit | [LOCAL.SET 3]
   0       1081704  [avrora.c-print] 11      emit | pop32 to R22...
   0       1087056  [avrora.c-print] 11      emit | Store R22... to local[0]
   0       1090189  [avrora.c-print] 11      emit | s: 0
   0       1094010  [avrora.c-print] 11      emit | [END]:0x7642
   0       1097468  [avrora.c-print] 11      emit | of block 3
   0       1101770  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       1106782  [avrora.c-print] 11      emit | Ld R22. from param[28]
   0       1109829  [avrora.c-print] 11      emit | push32
   0       1112829  [avrora.c-print] 11      emit | s: 1
   0       1117062  [avrora.c-print] 11      emit | [LOCAL.GET 1]
   0       1122074  [avrora.c-print] 11      emit | Ld R22. from param[24]
   0       1125121  [avrora.c-print] 11      emit | push32
   0       1128121  [avrora.c-print] 11      emit | s: 2
   0       1132405  [avrora.c-print] 11      emit | [I32.CONST 2]
   0       1136362  [avrora.c-print] 11      emit | load 2 to R22.
   0       1139328  [avrora.c-print] 11      emit | push32
   0       1142326  [avrora.c-print] 11      emit | s: 3
   0       1147836  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0       1152228  [avrora.c-print] 11      emit | [I32.ADD]
   0       1155710  [avrora.c-print] 11      emit | pop32 to R22.
   0       1159431  [avrora.c-print] 11      emit | pop32 to R18.
   0       1165446  [avrora.c-print] 11      emit | push/pop optimized
   0       1171224  [avrora.c-print] 11      emit | push/pop optimized
   0       1262956  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1265930  [avrora.c-print] 11      emit | push32
   0       1268928  [avrora.c-print] 11      emit | s: 1
   0       1273161  [avrora.c-print] 11      emit | [LOCAL.TEE 1]
   0       1276875  [avrora.c-print] 11      emit | pop32 to R22...
   0       1282474  [avrora.c-print] 11      emit | Store R22... to param[24]
   0       1285521  [avrora.c-print] 11      emit | push32
   0       1290133  [avrora.c-print] 11      emit | [I32.Load 0]
   0       1294441  [avrora.c-print] 11      emit | pop32 offset to R22.
   0       1299582  [avrora.c-print] 11      emit | [LOCAL.TEE 4]
   0       1303296  [avrora.c-print] 11      emit | pop32 to R22...
   0       1308648  [avrora.c-print] 11      emit | Store R22... to local[4]
   0       1311692  [avrora.c-print] 11      emit | push32
   0       1316166  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       1321178  [avrora.c-print] 11      emit | Ld R22. from param[28]
   0       1324225  [avrora.c-print] 11      emit | push32
   0       1327225  [avrora.c-print] 11      emit | s: 2
   0       1331458  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0       1336223  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0       1339267  [avrora.c-print] 11      emit | push32
   0       1342267  [avrora.c-print] 11      emit | s: 3
   0       1346551  [avrora.c-print] 11      emit | [I32.CONST 2]
   0       1350508  [avrora.c-print] 11      emit | load 2 to R22.
   0       1353474  [avrora.c-print] 11      emit | push32
   0       1356472  [avrora.c-print] 11      emit | s: 4
   0       1361982  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0       1366374  [avrora.c-print] 11      emit | [I32.ADD]
   0       1369856  [avrora.c-print] 11      emit | pop32 to R22.
   0       1373577  [avrora.c-print] 11      emit | pop32 to R18.
   0       1379602  [avrora.c-print] 11      emit | push/pop optimized
   0       1385100  [avrora.c-print] 11      emit | push/pop optimized
   0       1390853  [avrora.c-print] 11      emit | push/pop optimized
   0       1482397  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1485371  [avrora.c-print] 11      emit | push32
   0       1488369  [avrora.c-print] 11      emit | s: 2
   0       1492602  [avrora.c-print] 11      emit | [LOCAL.TEE 5]
   0       1496316  [avrora.c-print] 11      emit | pop32 to R22...
   0       1501668  [avrora.c-print] 11      emit | Store R22... to local[8]
   0       1504712  [avrora.c-print] 11      emit | push32
   0       1509324  [avrora.c-print] 11      emit | [I32.Load 0]
   0       1513632  [avrora.c-print] 11      emit | pop32 offset to R22.
   0       1518773  [avrora.c-print] 11      emit | [LOCAL.TEE 6]
   0       1522487  [avrora.c-print] 11      emit | pop32 to R22...
   0       1528079  [avrora.c-print] 11      emit | Store R22... to local[12]
   0       1531123  [avrora.c-print] 11      emit | push32
   0       1536874  [avrora.c-print] 11      emit | [I32.(ComparisonInstruction)]
   0       1542118  [avrora.c-print] 11      emit | [BR_IF 1]
   0       1545116  [avrora.c-print] 11      emit | s: 0
   0       1548197  [avrora.c-print] 11      emit | br 4
   0       1552656  [avrora.c-print] 11      emit | [LOCAL.GET 1]
   0       1557668  [avrora.c-print] 11      emit | Ld R22. from param[24]
   0       1560715  [avrora.c-print] 11      emit | push32
   0       1563715  [avrora.c-print] 11      emit | s: 1
   0       1567948  [avrora.c-print] 11      emit | [LOCAL.GET 6]
   0       1572953  [avrora.c-print] 11      emit | Ld R22. from local[12]
   0       1575997  [avrora.c-print] 11      emit | push32
   0       1578997  [avrora.c-print] 11      emit | s: 2
   0       1583484  [avrora.c-print] 11      emit | [I32.STORE 0]
   0       1587444  [avrora.c-print] 11      emit | pop32 val to R22.
   0       1593404  [avrora.c-print] 11      emit | push/pop optimized
   0       1598918  [avrora.c-print] 11      emit | push/pop optimized
   0       1604300  [avrora.c-print] 11      emit | push/pop optimized
   0       1609288  [avrora.c-print] 11      emit | push/pop optimized
   0       1615296  [avrora.c-print] 11      emit | pop32 offset to R18.
   0       1618977  [avrora.c-print] 11      emit | s: 0
   0       1623216  [avrora.c-print] 11      emit | [LOCAL.GET 5]
   0       1627981  [avrora.c-print] 11      emit | Ld R22. from local[8]
   0       1631025  [avrora.c-print] 11      emit | push32
   0       1634025  [avrora.c-print] 11      emit | s: 1
   0       1638258  [avrora.c-print] 11      emit | [LOCAL.GET 4]
   0       1643023  [avrora.c-print] 11      emit | Ld R22. from local[4]
   0       1646067  [avrora.c-print] 11      emit | push32
   0       1649067  [avrora.c-print] 11      emit | s: 2
   0       1653554  [avrora.c-print] 11      emit | [I32.STORE 0]
   0       1657514  [avrora.c-print] 11      emit | pop32 val to R22.
   0       1662047  [avrora.c-print] 11      emit | pop32 offset to R18.
   0       1665728  [avrora.c-print] 11      emit | s: 0
   0       1669967  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0       1674732  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0       1677776  [avrora.c-print] 11      emit | push32
   0       1680776  [avrora.c-print] 11      emit | s: 1
   0       1685009  [avrora.c-print] 11      emit | [LOCAL.SET 1]
   0       1688723  [avrora.c-print] 11      emit | pop32 to R22...
   0       1694322  [avrora.c-print] 11      emit | Store R22... to param[24]
   0       1697458  [avrora.c-print] 11      emit | s: 0
   0       1701697  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0       1706462  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0       1709506  [avrora.c-print] 11      emit | push32
   0       1712506  [avrora.c-print] 11      emit | s: 1
   0       1716790  [avrora.c-print] 11      emit | [I32.CONST 1]
   0       1720747  [avrora.c-print] 11      emit | load 1 to R22.
   0       1723713  [avrora.c-print] 11      emit | push32
   0       1726711  [avrora.c-print] 11      emit | s: 2
   0       1732221  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0       1739350  [avrora.c-print] 11      emit | push/pop optimized
   0       1744588  [avrora.c-print] 11      emit | push/pop optimized
   0       1836504  [avrora.c-print] 11      emit | [I32.CONST 1]
   0       1840461  [avrora.c-print] 11      emit | load 1 to R22.
   0       1843427  [avrora.c-print] 11      emit | push32
   0       1846425  [avrora.c-print] 11      emit | s: 2
   0       1850079  [avrora.c-print] 11      emit | [I32.(logic)]
   0       1853878  [avrora.c-print] 11      emit | s: 1
   0       1858118  [avrora.c-print] 11      emit | [LOCAL.TEE 3]
   0       1861832  [avrora.c-print] 11      emit | pop32 to R22...
   0       1867184  [avrora.c-print] 11      emit | Store R22... to local[0]
   0       1870228  [avrora.c-print] 11      emit | push32
   0       1874702  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0       1879714  [avrora.c-print] 11      emit | Ld R22. from param[20]
   0       1882761  [avrora.c-print] 11      emit | push32
   0       1885761  [avrora.c-print] 11      emit | s: 2
   0       1891271  [avrora.c-print] 11      emit | [I32.(ComparisonInstruction)]
   0       1896514  [avrora.c-print] 11      emit | [BR_IF 0]
   0       1899512  [avrora.c-print] 11      emit | s: 0
   0       1902593  [avrora.c-print] 11      emit | br 4
   0       1906636  [avrora.c-print] 11      emit | [END]:0x78d0
   0       1910094  [avrora.c-print] 11      emit | of block 2
   0       1913973  [avrora.c-print] 11      emit | [END]:0x78d0
   0       1917431  [avrora.c-print] 11      emit | of block 1
   0       1921317  [avrora.c-print] 11      emit | [END]:0x78d0
   0       1924234  [avrora.c-print] 11      emit | func end
   0       1928658  [avrora.c-print] 11      emit | deinit 16B locals
   0       1931295  [avrora.c-print] 11      emit | ret
   0       1937001  [avrora.c-print] 11      emit | push/pop optimized
   0       1942332  [avrora.c-print] 11      emit | push/pop optimized
   0       1947470  [avrora.c-print] 11      emit | push/pop optimized
   0       1952255  [avrora.c-print] 11      emit | push/pop optimized
   0       2036554  [avrora.c-print] 11       sys | free 86b
   0       2041403  [avrora.c-print] 11       sys | malloc 256 86b
   0       2055625  [avrora.c-print] 11      emit | [CALL 0]
   0       2062759  [avrora.c-print] 11      emit | call func rtc_startBenchmarkMeasurement_Native
   0       2066756  [avrora.c-print] 11      emit | [BLOCK nil]
   0       2071046  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       2076058  [avrora.c-print] 11      emit | Ld R22. from param[16]
   0       2079105  [avrora.c-print] 11      emit | push32
   0       2082105  [avrora.c-print] 11      emit | s: 1
   0       2087165  [avrora.c-print] 11      emit | [BR_IF 0]
   0       2090163  [avrora.c-print] 11      emit | s: 0
   0       2093244  [avrora.c-print] 11      emit | br 4
   0       2097703  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       2102715  [avrora.c-print] 11      emit | Ld R22. from param[16]
   0       2105762  [avrora.c-print] 11      emit | push32
   0       2108762  [avrora.c-print] 11      emit | s: 1
   0       2113181  [avrora.c-print] 11      emit | [I32.CONST -2]
   0       2117232  [avrora.c-print] 11      emit | load -2 to R22.
   0       2120198  [avrora.c-print] 11      emit | push32
   0       2123196  [avrora.c-print] 11      emit | s: 2
   0       2126386  [avrora.c-print] 11      emit | [I32.ADD]
   0       2129868  [avrora.c-print] 11      emit | pop32 to R22.
   0       2133589  [avrora.c-print] 11      emit | pop32 to R18.
   0       2138586  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       2141560  [avrora.c-print] 11      emit | push32
   0       2144558  [avrora.c-print] 11      emit | s: 1
   0       2148842  [avrora.c-print] 11      emit | [I32.CONST 2]
   0       2152799  [avrora.c-print] 11      emit | load 2 to R22.
   0       2155765  [avrora.c-print] 11      emit | push32
   0       2158763  [avrora.c-print] 11      emit | s: 2
   0       2161953  [avrora.c-print] 11      emit | [I32.DIV]
   0       2168582  [avrora.c-print] 11      emit | push/pop optimized
   0       2173812  [avrora.c-print] 11      emit | push/pop optimized
   0       2266858  [avrora.c-print] 11      emit | s: 1
   0       2271098  [avrora.c-print] 11      emit | [LOCAL.SET 2]
   0       2274812  [avrora.c-print] 11      emit | pop32 to R22...
   0       2280164  [avrora.c-print] 11      emit | Store R22... to local[0]
   0       2283297  [avrora.c-print] 11      emit | s: 0
   0       2287069  [avrora.c-print] 11      emit | [LOOP nil]
   0       2291363  [avrora.c-print] 11      emit | [LOCAL.GET 1]
   0       2296375  [avrora.c-print] 11      emit | Ld R22. from param[12]
   0       2299422  [avrora.c-print] 11      emit | push32
   0       2302422  [avrora.c-print] 11      emit | s: 1
   0       2306655  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0       2311420  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0       2314464  [avrora.c-print] 11      emit | push32
   0       2317464  [avrora.c-print] 11      emit | s: 2
   0       2321697  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       2326709  [avrora.c-print] 11      emit | Ld R22. from param[16]
   0       2329756  [avrora.c-print] 11      emit | push32
   0       2332756  [avrora.c-print] 11      emit | s: 3
   0       2337053  [avrora.c-print] 11      emit | [CALL 4]
   0       2340645  [avrora.c-print] 11      emit | call func f2
   0       2343453  [avrora.c-print] 11      emit | drop32
   0       2346401  [avrora.c-print] 11      emit | drop32
   0       2349349  [avrora.c-print] 11      emit | drop32
   0       2352389  [avrora.c-print] 11      emit | s: 0
   0       2356629  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0       2361394  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0       2364438  [avrora.c-print] 11      emit | push32
   0       2367438  [avrora.c-print] 11      emit | s: 1
   0       2371722  [avrora.c-print] 11      emit | [I32.CONST 0]
   0       2375679  [avrora.c-print] 11      emit | load 0 to R22.
   0       2378645  [avrora.c-print] 11      emit | push32
   0       2381643  [avrora.c-print] 11      emit | s: 2
   0       2387153  [avrora.c-print] 11      emit | [I32.(ComparisonInstruction)]
   0       2392863  [avrora.c-print] 11      emit | [LOCAL.SET 3]
   0       2396577  [avrora.c-print] 11      emit | pop32 to R22...
   0       2401929  [avrora.c-print] 11      emit | Store R22... to local[4]
   0       2405062  [avrora.c-print] 11      emit | s: 0
   0       2409301  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0       2414066  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0       2420434  [avrora.c-print] 11      emit | push/pop optimized
   0       2425114  [avrora.c-print] 11      emit | push/pop optimized
   0       2429566  [avrora.c-print] 11      emit | push32
   0       2432566  [avrora.c-print] 11      emit | s: 1
   0       2436985  [avrora.c-print] 11      emit | [I32.CONST -1]
   0       2441036  [avrora.c-print] 11      emit | load -1 to R22.
   0       2444002  [avrora.c-print] 11      emit | push32
   0       2447000  [avrora.c-print] 11      emit | s: 2
   0       2450190  [avrora.c-print] 11      emit | [I32.ADD]
   0       2453672  [avrora.c-print] 11      emit | pop32 to R22.
   0       2457393  [avrora.c-print] 11      emit | pop32 to R18.
   0       2462390  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       2465364  [avrora.c-print] 11      emit | push32
   0       2468362  [avrora.c-print] 11      emit | s: 1
   0       2472595  [avrora.c-print] 11      emit | [LOCAL.SET 2]
   0       2476309  [avrora.c-print] 11      emit | pop32 to R22...
   0       2481661  [avrora.c-print] 11      emit | Store R22... to local[0]
   0       2484794  [avrora.c-print] 11      emit | s: 0
   0       2489033  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0       2493798  [avrora.c-print] 11      emit | Ld R22. from local[4]
   0       2496842  [avrora.c-print] 11      emit | push32
   0       2499842  [avrora.c-print] 11      emit | s: 1
   0       2503609  [avrora.c-print] 11      emit | [BR_IF 0]
   0       2506607  [avrora.c-print] 11      emit | s: 0
   0       2509688  [avrora.c-print] 11      emit | br 4
   0       2513731  [avrora.c-print] 11      emit | [END]:0x7a50
   0       2517189  [avrora.c-print] 11      emit | of block 2
   0       2521484  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       2526496  [avrora.c-print] 11      emit | Ld R22. from param[16]
   0       2529543  [avrora.c-print] 11      emit | push32
   0       2532543  [avrora.c-print] 11      emit | s: 1
   0       2536827  [avrora.c-print] 11      emit | [I32.CONST 2]
   0       2540784  [avrora.c-print] 11      emit | load 2 to R22.
   0       2543750  [avrora.c-print] 11      emit | push32
   0       2546748  [avrora.c-print] 11      emit | s: 2
   0       2552258  [avrora.c-print] 11      emit | [I32.(ComparisonInstruction)]
   0       2559622  [avrora.c-print] 11      emit | push/pop optimized
   0       2565072  [avrora.c-print] 11      emit | push/pop optimized
   0       2570266  [avrora.c-print] 11      emit | push/pop optimized
   0       2575302  [avrora.c-print] 11      emit | push/pop optimized
   0       2665918  [avrora.c-print] 11      emit | [BR_IF 0]
   0       2668916  [avrora.c-print] 11      emit | s: 0
   0       2671997  [avrora.c-print] 11      emit | br 4
   0       2676456  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       2681468  [avrora.c-print] 11      emit | Ld R22. from param[16]
   0       2684515  [avrora.c-print] 11      emit | push32
   0       2687515  [avrora.c-print] 11      emit | s: 1
   0       2691799  [avrora.c-print] 11      emit | [I32.CONST 1]
   0       2695756  [avrora.c-print] 11      emit | load 1 to R22.
   0       2698722  [avrora.c-print] 11      emit | push32
   0       2701720  [avrora.c-print] 11      emit | s: 2
